GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,AIANHHRA,AIANHHTA,AIANHHA,AITSA,ANRCA,CSAA,NECTAA,NECTADIVA,CNECTAA,CDA,SLDUA,SLDLA,VTDA,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7S001,H7S002,H7S003,H7S004,H7S005,H7S006,H7S007,H7S008,H7S009,H7S010,H7S011,H7S012,H7S013,H7S014,H7S015,H7S016,H7S017,H7S018,H7S019,H7S020,H7S021,H7S022,H7S023,H7S024,H7S025,H7S026,H7S027,H7S028,H7S029,H7S030,H7S031,H7S032,H7S033,H7S034,H7S035,H7S036,H7S037,H7S038,H7S039,H7S040,H7S041,H7S042,H7S043,H7S044,H7S045,H7S046,H7S047,H7S048,H7S049,H7S050,H7S051,H7S052,H7S053,H7S054,H7S055,H7S056,H7S057,H7S058,H7S059,H7S060,H7S061,H7S062,H7S063,H7S064,H7S065,H7S066,H7S067,H7S068,H7S069,H7S070,H7S071
"G4803470","2010","3","7","Texas","48","Nacogdoches County","347",,,,,,,,,,,,"999",,,,,,,,,,,,"Nacogdoches County",,49463,48712,35292,8873,266,616,22,3643,751,712,116,237,74,2,206,25,11,5,14,4,1,8,3,6,0,36,21,1,1,2,1,0,3,4,1,0,0,0,0,1,0,0,0,1,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G4803490","2010","3","7","Texas","48","Navarro County","349",,,,,,,,,,,,"999",,,,,,,,,,,,"Navarro County",,34812,34295,25368,4745,229,189,240,3524,517,490,50,110,25,8,208,15,5,1,27,4,4,17,2,9,5,24,6,0,0,3,0,1,6,1,4,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G4803510","2010","3","7","Texas","48","Newton County","351",,,,,,,,,,,,"999",,,,,,,,,,,,"Newton County",,11092,10986,8638,2189,58,48,1,52,106,103,13,57,9,5,14,3,0,0,1,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G4803530","2010","3","7","Texas","48","Nolan County","353",,,,,,,,,,,,"999",,,,,,,,,,,,"Nolan County",,11281,11117,9659,467,68,50,0,873,164,159,17,43,6,2,63,2,2,0,8,0,0,9,0,6,1,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"G4803550","2010","3","7","Texas","48","Nueces County","355",,,,,,,,,,,,"204",,,,,,,,,,,,"Nueces County",,251968,246984,207880,9786,1568,4476,198,23076,4984,4763,296,892,574,62,2333,63,43,13,125,18,2,143,39,123,37,199,67,8,1,21,19,3,34,16,13,2,2,0,1,1,2,1,0,6,2,0,9,3,1,0,0,0,0,2,1,1,1,0,0,0,0,0,13,12,0,0,0,0,1,0,0
"G4803570","2010","3","7","Texas","48","Ochiltree County","357",,,,,,,,,,,,"999",,,,,,,,,,,,"Ochiltree County",,6992,6859,6087,23,69,19,3,658,133,131,5,33,5,1,77,0,0,0,3,1,0,5,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G4803590","2010","3","7","Texas","48","Oldham County","359",,,,,,,,,,,,"999",,,,,,,,,,,,"Oldham County",,1354,1344,1259,14,7,15,0,49,10,10,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G4803610","2010","3","7","Texas","48","Orange County","361",,,,,,,,,,,,"999",,,,,,,,,,,,"Orange County",,61330,60578,53766,4819,322,568,28,1075,752,725,44,365,86,8,162,10,2,4,4,1,1,5,9,22,2,24,12,0,0,2,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G4803630","2010","3","7","Texas","48","Palo Pinto County","363",,,,,,,,,,,,"206",,,,,,,,,,,,"Palo Pinto County",,21080,20815,18856,414,148,111,9,1277,265,254,23,94,17,4,86,6,0,0,2,6,0,7,0,8,1,11,3,1,0,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G4803650","2010","3","7","Texas","48","Panola County","365",,,,,,,,,,,,"999",,,,,,,,,,,,"Panola County",,17926,17705,14072,2860,75,51,2,645,221,213,19,105,14,3,31,19,1,2,8,1,0,1,1,5,3,7,3,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
