OBJECTID,NAME,ADDRESS,LONG,LAT
190,NATE SMITH ELDERLY HOUSING -,"155 LAMARTINE STREET,",-71.10433007,42.31823162
191,COLLINS APARTMENTS -,"29 POND STREET,",-71.114937,42.31520704
192,BOWDITCH SCHOOL BUILDING -,"82 GREEN STREET,",-71.10938,42.31174004
193,WOODBOURNE APARTMENTS -,"6 SOUTHBOURNE ROAD,",-71.1177064,42.29016254
194,MARGARITA MUNIZ ACADEMY,"20 CHILD STREET,",-71.11429,42.30726004
195,MARGARITA MUNIZ ACADEMY,"20 CHILD STREET,",-71.11429,42.30726004
196,SAINT NECTARIOS GREEK CHURCH -,39 BELGRADE AVENUE.,-71.13158,42.28676004
197,SAINT GEORGE ORTHODOX CHURCH -,"55 EMMONSDALE ROAD,",-71.15163,42.27723004
198,ROCHE COMMUNITY CENTER -,"1716 CENTRE STREET,",-71.14933949,42.28701258
199,PATRICK LYNDON K-8 SCHOOL -,"20 MOUNT VERNON STREET,",-71.058226,42.32232604
200,PATRICK LYNDON K-8 SCHOOL -,"20 MOUNT VERNON STREET,",-71.058226,42.32232604
201,SAINT GEORGE ORTHODOX CHURCH -,"55 EMMONSDALE ROAD,",-71.15163,42.27723004
202,LUDWIG VAN BEETHOVEN ELEMENTARY SCHOOL -,"5125 WASHINGTON STREET,",-71.15613,42.26343004
203,JOYCE KILMER LOWER SCHOOL (K0-3)-,"35 BAKER STREET,",-71.16259433,42.27188383
